ContainerID,ESN,Location
(00)007604921735808785,352334105576679,1
(00)007604921735808785,352334101253588,1
(00)007604921735808785,352734111154538,1
(00)007604921735808785,352334100406617,1
(00)007604921735808785,352334103091424,1
(00)007604922869593765,356028101305473,2
(00)007604922869593765,351924102097462,2
(00)007604922869593765,356028100698357,2
(00)007604922869593765,351924102739493,2
(00)007604922869593765,352334102014294,2
(00)007604929007950755,352337100887272,3
(00)007604929007950755,352330100318851,3
(00)007604929007950755,351924101920375,3
(00)007604929007950755,356028101540756,3
(00)007604929007950755,352337100764976,3
(00)007604923676659735,352334103800014,4
(00)007604923676659735,351924100510599,4
(00)007604923676659735,352334107000876,4
(00)007604923676659735,352334106240663,4
(00)007604923676659735,352734110484399,4
(00)007604925961568545,352334105347311,5
(00)007604925961568545,352334103742257,5
(00)007604925961568545,352334104403503,5
(00)007604925961568545,352330100054084,5
(00)007604925961568545,356028101050814,5
(00)007604928207451495,352734111518799,6
(00)007604928207451495,352334104598633,6
(00)007604928207451495,352334103702632,6
(00)007604928207451495,357295100390025,6
(00)007604928207451495,358090101259116,6
(00)007604926471243605,358090100885283,7
(00)007604926471243605,352330100532923,7
(00)007604926471243605,352334103057540,7
(00)007604926471243605,351924102969728,7
(00)007604926471243605,352335105326635,7
(00)007604922740338555,352734111633317,7
(00)007604922740338555,352334102762975,8
(00)007604922740338555,356142110293974,8
(00)007604922740338555,357295101031248,8
(00)007604922740338555,352335100160120,8
(00)007604923598373605,352734111474258,9
(00)007604923598373605,351924100553722,9
(00)007604923598373605,352334103084148,9
(00)007604923598373605,357295100184386,9
(00)007604923598373605,351924102144884,9
(00)007604929814037405,352734110479985,10
(00)007604929814037405,357295100980452,10
(00)007604929814037405,351924100711817,10
(00)007604929814037405,351924101866628,10
(00)007604929814037405,358090103585625,10
(00)007604926342763185,351924102654478,11
(00)007604926342763185,351924100660410,11
(00)007604926342763185,358090100368637,11
(00)007604926342763185,356028100464743,11
(00)007604926342763185,352334101566831,11
(00)007604929102443465,351924100330030,12
(00)007604929102443465,357295100087886,12
(00)007604929102443465,352335105171767,12
(00)007604929102443465,358090107004003,12
(00)007604929102443465,352334104360703,12
(00)007604924826842585,352335100255318,13
(00)007604924826842585,351924100514187,13
(00)007604924826842585,352330100264709,13
(00)007604924826842585,352330100401350,13
(00)007604924826842585,358090102693602,13
(00)007604923513037645,351924102265788,14
(00)007604923513037645,352334100752457,14
(00)007604923513037645,352330100465868,14
(00)007604923513037645,352334104901415,14
(00)007604923513037645,351924100778410,14
(00)007604925887850535,351924103007270,15
(00)007604925887850535,356028106367122,15
(00)007604925887850535,358090101026143,15
(00)007604925887850535,351924101403828,15
(00)007604925887850535,352335105132827,15
(00)007604926919073555,352335101362261,16
(00)007604926919073555,352334103313885,16
(00)007604926919073555,352334100073292,16
(00)007604926919073555,358090100147858,16
(00)007604926919073555,356028100109710,16
(00)007604928793769725,351924100484381,17
(00)007604928793769725,352335100769383,17
(00)007604928793769725,356028102672442,17
(00)007604928793769725,351924101577894,17
(00)007604928793769725,352330100969091,17
(00)007604922226315115,358090103308226,18
(00)007604922226315115,352334106985101,18
(00)007604922226315115,352334105412974,18
(00)007604922226315115,357295101210206,18
(00)007604922226315115,356028100420109,18
(00)007604922135084395,351924102593213,19
(00)007604922135084395,356028101593979,19
(00)007604922135084395,352334102342653,19
(00)007604922135084395,352734111547079,19
(00)007604922135084395,351924101405666,19
(00)007604923770516385,352334102199749,20
(00)007604923770516385,352334105928508,20
(00)007604923770516385,358090101100799,20
(00)007604923770516385,352330100165419,20
(00)007604923770516385,352334105580341,20
(00)007604925521578185,352334103075245,21
(00)007604925521578185,352334105150020,21
(00)007604925521578185,352734112004302,21
(00)007604925521578185,352334106311720,21
(00)007604925521578185,352334100664728,21
(00)007604922495138475,357295100109532,22
(00)007604922495138475,351924104416116,22
(00)007604922495138475,358090102441143,22
(00)007604922495138475,357295100018329,22
(00)007604922495138475,356028101568922,22
(00)007604924704116605,352330100501597,23
(00)007604924704116605,356028102094621,23
(00)007604924704116605,352335101067639,23
(00)007604924704116605,352334100823548,23
(00)007604924704116605,351924103387359,23
(00)007604922796748585,351924101238570,24
(00)007604922796748585,351924100620240,24
(00)007604922796748585,358090101342714,24
(00)007604922796748585,351924100480330,24
(00)007604922796748585,352334100971206,24
(00)007604921777745095,352330100184618,25
(00)007604921777745095,358090100974715,25
(00)007604921777745095,351924103547424,25
(00)007604921777745095,351924100576434,25
(00)007604921777745095,352334104832917,25
(00)007604923237523255,351924102854623,26
(00)007604923237523255,352334103842131,26
(00)007604923237523255,351924101945349,26
(00)007604923237523255,352335105113140,26
(00)007604923237523255,357295100851588,26
(00)007604927796371765,351924100525431,27
(00)007604927796371765,352335100383003,27
(00)007604927796371765,352334104802217,27
(00)007604927796371765,356142110130226,27
(00)007604927796371765,356028100010389,27
(00)007604923627965125,351924100606892,28
(00)007604923627965125,357295100481733,28
(00)007604923627965125,351924102562754,28
(00)007604923627965125,351924100614375,28
(00)007604923627965125,352334103807662,28
(00)007604926520754675,352734110506076,29
(00)007604926520754675,352334106922930,29
(00)007604926520754675,356028101412808,29
(00)007604926520754675,352334103923899,29
(00)007604926520754675,352330100204259,29
(00)007604925814188645,352335105063675,30
